ID,DB,DX,MODE,MESSAGE
1,80,12.2,OC,COMMON AREA O2 EX01 SENSOR OXYGEN LOW 
2,80,12.3,OC,COMMON AREA O2 EX02 SENSOR OXYGEN LOW 
3,80,12.4,OC,COMMON AREA O2 EX03 SENSOR OXYGEN LOW 
4,80,12.5,OC,COMMON AREA O2 EX04 SENSOR OXYGEN LOW 
5,80,12.6,OC,COMMON AREA O2 EX05 SENSOR OXYGEN LOW 
6,80,12.7,OC,COMMON AREA O2 EX06 SENSOR OXYGEN LOW 
7,80,13,OC,COMMON AREA O2 EX07 SENSOR OXYGEN LOW 
8,80,13.1,OC,COMMON AREA O2 EX08 SENSOR OXYGEN LOW 
9,80,13.2,OC,COMMON AREA O2 EX09 SENSOR OXYGEN LOW 
10,80,13.3,OC,COMMON AREA O2 EX10 SENSOR OXYGEN LOW 
11,80,13.4,OC,COMMON AREA O2 EX11 SENSOR OXYGEN LOW 
22,100,6,OC,EMERGENCY STOP1 ACTIVATED
23,100,6.1,OC,EMERGENCY STOP2 ACTIVATED
60,80,1.5,M1,STORAGE CHAMBER 1 O2 SENSOR 1 OXYGEN LOW 
61,80,1.6,M1,STORAGE CHAMBER 1 O2 SENSOR 2 OXYGEN LOW 
62,80,1.7,M1,STORAGE CHAMBER 1 O2 SENSOR 3 OXYGEN LOW 
111,180,1.5,M2,STORAGE CHAMBER 2 O2 SENSOR 1 OXYGEN LOW 
112,180,1.6,M2,STORAGE CHAMBER 2 O2 SENSOR 2 OXYGEN LOW 
113,180,1.7,M2,STORAGE CHAMBER 2 O2 SENSOR 3 OXYGEN LOW 
167,280,1.5,M3,STORAGE CHAMBER 3 O2 SENSOR 1 OXYGEN LOW 
168,280,1.6,M3,STORAGE CHAMBER 3 O2 SENSOR 2 OXYGEN LOW 
169,280,1.7,M3,STORAGE CHAMBER 3 O2 SENSOR 3 OXYGEN LOW 
221,380,1.5,M4,STORAGE CHAMBER 4 O2 SENSOR 1 OXYGEN LOW 
222,380,1.6,M4,STORAGE CHAMBER 4 O2 SENSOR 2 OXYGEN LOW 
223,380,1.7,M4,STORAGE CHAMBER 4 O2 SENSOR 3 OXYGEN LOW 
275,480,1.5,M5,STORAGE CHAMBER 5 O2 SENSOR 1 OXYGEN LOW 
276,480,1.6,M5,STORAGE CHAMBER 5 O2 SENSOR 2 OXYGEN LOW 
277,480,1.7,M5,STORAGE CHAMBER 5 O2 SENSOR 3 OXYGEN LOW 
323,580,1.5,M6,STORAGE CHAMBER 6 O2 SENSOR 1 OXYGEN LOW 
324,580,1.6,M6,STORAGE CHAMBER 6 O2 SENSOR 2 OXYGEN LOW 
325,580,1.7,M6,STORAGE CHAMBER 6 O2 SENSOR 3 OXYGEN LOW
